Date,Date_Julian,DMP_NoWater,Lat,Lon,Hrs_Above_Frz_Ice_Since_Jun1,Cum_Surface_Irradiance_SinceJun1,Cum_SubSurface_Irradiance_SinceJun1,Source,Split
1-Jun,152,0.001,72.84408142,-166.5376445,0,2.07E+09,8.40E+07,Buoy7,Train
4-Jun,155,0.005,73.03705508,-166.76781,24,2.26E+09,8.83E+07,Buoy7,Test
5-Jun,156,0.013,72.84483454,-163.3194397,60,2.46E+09,4.57E+07,Buoy8,Train
5-Jun,156,0.017,73.0554075,-166.9084234,41,2.32E+09,9.08E+07,Buoy7,Train
10-Jun,161,0.02,76.86583333,-165.986,0,6.02E+09,4.41E+06,SHEBA,Train
15-Jun,166,0.04,77.18730435,-166.3439565,4,6.61E+09,7.05E+06,SHEBA,Test
18-Jun,169,0.036,72.25077188,-164.0638793,276,3.06E+09,7.12E+07,Buoy8,Train
18-Jun,169,0.2,77.46108333,-166.5679583,76,7.58E+09,9.56E+06,SHEBA,Train
22-Jun,173,0.126,72.53360179,-166.7986965,336,3.14E+09,1.10E+08,Buoy7,Test
22-Jun,173,0.04,71.91319821,-163.8941549,352,3.23E+09,8.56E+07,Buoy8,Train
22-Jun,173,0.19,77.71295833,-167.4007917,155,8.03E+09,1.43E+07,SHEBA,Test
26-Jun,177,0.169,71.70161396,-163.1432208,439,3.45E+09,1.23E+08,Buoy8,Test
27-Jun,178,0.143,72.81978312,-165.8454093,449,3.40E+09,1.16E+08,Buoy7,Train
28-Jun,179,0.214,72.91864225,-166.158278,473,3.45E+09,1.17E+08,Buoy7,Train
30-Jun,181,0.14,78.05129167,-167.32425,200,8.95E+09,2.84E+07,SHEBA,Train
8-Jul,189,0.14,78.08279167,-165.985,392,9.64E+09,5.19E+07,SHEBA,Test
13-Jul,194,0.311,72.93464629,-166.8344015,795,4.07E+09,1.43E+08,Buoy7,Test
15-Jul,196,0.2,78.131625,-166.075,545,1.04E+10,8.74E+07,SHEBA,Train
20-Jul,201,0.461,72.75185383,-162.5613632,963,4.30E+09,1.70E+08,Buoy7/Barrow,Train
20-Jul,201,0.21,78.29266667,-165.837125,665,1.08E+10,1.12E+08,SHEBA,Train
25-Jul,206,0.23,78.53466667,-165.4459167,776,1.12E+10,1.39E+08,SHEBA,Test
8-Aug,220,0.24,78.62266667,-158.4666667,1088,1.21E+10,1.74E+08,SHEBA,Train
